form_type,vote_type,required,expected_polling_stations,file_path,source_url,notes
5_17_partylist,party_list,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_17,constituency,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-แบ่งเขต-นอกเขต.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_16_partylist,party_list,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_16,constituency,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านขาม-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,true,,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
