province,constituency_no,form_type,vote_type,polling_station_no,district,subdistrict,choice_no,choice_name,party_name,votes,eligible_voters,ballots_cast,valid_votes,invalid_votes,no_vote,source_pdf,source_page,ocr_engine,ocr_confidence,validation_status,reviewer_notes
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,2,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,11,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,23,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,1,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,1,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,1,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,4,จัตุรัส,กุดน้ำใส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,2,74,49,41,3,5,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.กุดน้ำใส-แบ่งเขต_บัญชีรายชื่อ.pdf,19,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 19 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,18,จัตุรัส,บ้านกอก,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,1,213,137,127,4,6,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,18,จัตุรัส,บ้านกอก,2,นางสาววาสนา อยู่ภักดี,ประชาชน,21,213,137,127,4,6,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
ชัยภูมิ,2,5_18,constituency,18,จัตุรัส,บ้านกอก,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,94,213,137,127,4,6,data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1,manual_review,1.0,ok,Verified manually from official ECT 5/18 PDF page 1 because handwritten votes were not reliable in OCR
