province,constituency_no,form_type,candidate_no,canonical_name,party_name,aliases,source_pdf,source_page,source_note
ชัยภูมิ,2,518,1,นายประเสริฐศักดิ์ ขำหินตั้ง,ไทยก้าวใหม่,ประเสริฐศักดิ์ ขำหินตั้ง|ประเสริฐศักดิ์ จำหนัก,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,2,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,2,นางสาววาสนา อยู่ภักดี,ประชาชน,วาสนา อยู่ภักดี,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,1,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,เชิงชาย ชาลีรินทร์,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,1,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,4,นายณรงค์ แขนอก,ประชาธิปัตย์,ณรงค์ แขนอก,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,2,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,ทัศนัย สุขประสาร,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,2,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,โสโชค สู้โนนตาด,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,2,Official ECT 6/1 constituency aggregate candidate table
ชัยภูมิ,2,518,8,นายถวัลย์ หงษ์ไทย,เศรษฐกิจ,ถวัลย์ หงษ์ไทย|กวัสย์ หงษ์ไทย,https://drive.google.com/file/d/1wDmWd3fSbSXlPvalTgH_of6TOKkUdJk9/view,2,Official ECT 6/1 constituency aggregate candidate table
