party_no,canonical_name,aliases,source_pdf,source_page,source_note
31,ประชากรไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
32,ครูไทยเพื่อประชาชน,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
33,ประชาชาติ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
34,สร้างอนาคตไทย,สรางอนาคตไทย,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
35,รักชาติ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
36,ไทยพร้อม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,2,Official ECT 6/1 (บช.) party-list aggregate table
37,ภูมิใจไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
38,พลังธรรมใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
39,กรีน,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
40,ไทยธรรม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
41,แผ่นดินธรรม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
42,กล้าธรรม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
43,พลังประชารัฐ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
44,โอกาสใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
45,เป็นธรรม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
46,ประชาชน,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
47,ประชาไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
48,ไทยสร้างไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
49,ไทยก้าวใหม่,ไทยกววใหม่|ไทยกาวใหม่,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
50,ประชาอาสาชาติ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
51,พร้อม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
52,เครือข่ายชาวนาแห่งประเทศไทย,เครือขายชาวนาแหงประเทศไทย,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
53,ไทยพิทักษ์ธรรม,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
54,ความหวังใหม่,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
55,ไทยรวมไทย,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
56,เพื่อบ้านเมือง,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
57,พลังไทยรักชาติ,,https://drive.google.com/file/d/1B2BqUkGnl5jJdaO-QKXtR6KTl7Sukr08/view,3,Official ECT 6/1 (บช.) party-list aggregate table
