province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,5,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,5850,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,4,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,4,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,5,,,
ชัยภูมิ,2,518,election_day,6,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,1,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,3,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,3,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,0,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,38,,ได้กรอกทั่งดัวเลขแหรตัวรัวษร),,,,
ชัยภูมิ,2,518,election_day,7,กุดน้ำใส จัตุรัส,150,,ได้กรอกทั่งดัวเลขแหรตัวรัวษร),,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,8,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,2,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,9,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,9,,,
ชัยภูมิ,2,518,election_day,8,กุดน้ำใส จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,5,,,
ชัยภูมิ,2,518,election_day,9,กุดน้ำใส จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,0,,,
ชัยภูมิ,2,518,election_day,9,กุดน้ำใส จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
