metric,status,correct,total,accuracy,target,details
ground_truth_rows,warn,0,0,,0.99,No rows found in /Users/pornmongkol/Documents/ProjectDSDE_election2026/data/external/ground_truth_sample.csv
overall_field_accuracy,warn,0,0,,0.99,Add reviewed rows before claiming final accuracy.
