form_type,vote_type,required,expected_polling_stations,file_path,exists,sha256,source_url,notes
5_18_auto,auto,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,True,6bd08dcd253bca8c924c43e59ce9b49cbeff0bfa6d539a7f0a77c5efb61dbf1b,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-บัญชีรายชื่อ.PDF,True,6a7c98df065065ec43fae348ccac6180458eaed34d122a282f6793c8bce37f89,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอซับใหญ่/ท่ากูบ-001-แบ่งเขต.PDF,True,e91499d8ed325f10c1eced0e1e87ea1dc6e95462f1aa01882008758f6df456f1,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ชีบน-แบ่งเขต_บัญชีรายชื่อ.pdf,True,3fcb77034c62b670557e21a85b44bca094f865c139499d4bb66bd786d28e440b,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต.PDF,True,3e9ff8660140f124e53fdacd3ae03a20cbb7e15fde6c7a4a2bc4d9e0c06084fc,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ตลาดแร้ง-แบ่งเขต_บัญชีรายชื่อ.pdf,True,445af21917486694be8815ed3a29b9c91ac3b9f0261a43d1f090a924b09f96f4,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ทุ่งทอง-แบ่งเขต_บัญชีรายชื่อ.pdf,True,c4fdbd544b24ebe8f5ea8c09d600487d26cf6ca14f5891fe4fecdc944ccbfd8a,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_auto,auto,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.บ้านเขว้า-แบ่งเขต_บัญชีรายชื่อ.pdf,True,b19eef136c7253990bfa69579bf8c306ec2a7c52eb485fc21c64ca9068489bea,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18_partylist,party_list,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-บัญชีรายชื่อ.PDF,True,a15299b94b847c8d436b8f13ee1b2bfebc2db29979ab32f4aa33c5989859c156,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
5_18,constituency,True,,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอบ้านเขว้า/ต.ภูแลนคา-แบ่งเขต.PDF,True,a6d5ecc7449237a8344b71c5a27d92580463af87d6240364749ef86cc04be591,https://www.ect.go.th/ect_th/th/election-2026,Extracted from prepared Google Drive zip
