field,observed_value,suggested_value,score,status,form_type,polling_station_no,choice_no,source_pdf,source_page
choice_name,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,นายเชิงชาย ชาลีรินทร์,0.7547,no_confident_match,5_18,56.0,63,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,61
party_name,ประชาธิปัตย์ ประชาชน เพื่อไทย A,ประชาธิปัตย์,0.6,no_confident_match,5_18,56.0,63,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,61
choice_name,ปิดไหม่,ประเสริฐศักดิ์ จำหนัก,0.2963,no_confident_match,5_18,65.0,65,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ละหาน-แบ่งเขต_บัญชีรายชื่อ.pdf,116
party_name,(ังโกรลงทีางออม,ทางเลือกใหม,0.3846,no_confident_match,5_18,67.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.ส้มป่อย-แบ่งเขต_บัญชีรายชื่อ.pdf,2
choice_name,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก,นายเชิงชาย ชาลีรินทร์,0.7547,no_confident_match,5_18,82.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1
party_name,ประชาธิปัตย์ เพื่อไทย,ประชาธิปัตย์,0.75,no_confident_match,5_18,82.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,1
choice_name,IsV,กวัสย์ หงษ์ไทย,0.0,no_confident_match,5_18,93.0,95,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวบาน-แบ่งเขต_บัญชีรายชื่อ.pdf,67
choice_name,นายถวัลย์ หงษ์ไทย นายถวัลย์ หงษ์ไทย รวมคะแนทั้งสิ้น,นายกวัสย์ หงษ์ไทย,0.4444,no_confident_match,5_18,112.0,88,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,81
party_name,เศรษฐกิจ เศรษฐกิจ,เศรษฐกิจ,0.6667,no_confident_match,5_18,112.0,88,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวโคก-แบ่งเขต_บัญชีรายชื่อ.pdf,81
choice_name,พลวัต ประชาธีปไตยใหม่,ทัศนัย สุขประสาร,0.2857,no_confident_match,5_18,115.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,15
choice_name,เพื่อไทย ทางเลือกไหม,นายณรงค์ แขนอก,0.25,no_confident_match,5_18,115.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,15
choice_name,ทางเลือกไหม,นายณรงค์ แขนอก,0.3333,no_confident_match,5_18,115.0,10,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,15
choice_name,เพื่อไทย ประชาธีปไตยใหม่,ทัศนัย สุขประสาร,0.3158,no_confident_match,5_18,115.0,88,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,15
choice_name,นายเชิงชาย ชาลีรินทร์ นายณรงค์ แขนอก นายทัศนัย สุขประสาร นายทัศนัย สุขประสาร นายณรงค์ แขนอก,นายเชิงชาย ชาลีรินทร์,0.3922,no_confident_match,5_18,120.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,42
party_name,ประชาธิปัตย์ ประชาธิปัตย์ ภูมิใจไทย ภูมิใจไทย N.,ประชาธิปัตย์,0.4286,no_confident_match,5_18,120.0,7,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองบัวใหญ่-แบ่งเขต_บัญชีรายชื่อ.pdf,42
choice_name,"m m m − -L- L. E "" : i I E : * I : L E : L กรอกทั้งดัวเล",ณรงค์ แขนอก,0.1304,no_confident_match,5_18,129.0,50,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,25
party_name,เลขประจำตัวผู้ส: : HL BUAOV BUROV UNOO -----น O OJSOย a F √,ประชาธิปัตย์,0.1667,no_confident_match,5_18,129.0,50,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,25
choice_name,นายเซชิงชาย ขาลีรินทร์ นายเซิงชาย ขาลีรินทร์ นายณรงค์ แขนอก นายณรงค์ แขนอก,นายเชิงชาย ชาลีรินทร์,0.4368,no_confident_match,5_18,130.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,31
party_name,ประชาธิปัตย์ ประชาธิปัตย์ เพื่อไทย เพื่อไทย ---------+,ประชาธิปัตย์,0.3871,no_confident_match,5_18,130.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,31
choice_name,นายเซิงขาย ซาลีรินทร์ นายณรงค์ แขนอก,นายเชิงชาย ชาลีรินทร์,0.6415,no_confident_match,5_18,133.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,49
party_name,ประชาธิบิตย์ เพื่อไทย --+=+* mr,ประชาธิปัตย์,0.5,no_confident_match,5_18,133.0,9,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,49
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,135.0,4,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,135.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,135.0,6,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,135.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,1
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,136.0,3,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,11
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,136.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,11
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,136.0,6,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,11
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,136.0,8,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,11
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,137.0,3,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,17
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,137.0,4,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,17
station_name,จัตุรัส ทต.บ้านกอก จัตุรัส,จัตุรัส/บ้านกอก จัตุรัส,0.913,suggested,5_18,137.0,5,/content/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/อำเภอจัตุรัส/ทต.จัตุรัส ทต.บ้านกอก-แบ่งเขต_บัญชีรายชื่อ.pdf,17
